thrust time (ms),thrust (N),burn time (s),Pc (psi),Pc time (ms),burn time (s),Interpolated Pc,At (in$2),Ctau
1713734911068,926.23,1.884,378.10927,1713734910073,0.891,,,
1713734911076,927.06,1.892,378.33642,1713734910078,0.896,,,
1713734911089,925.56,1.905,378.54623,1713734910083,0.901,,,
1713734911101,924.96,1.917,378.69352,1713734910088,0.906,,,
1713734911109,925.75,1.925,378.71217,1713734910094,0.912,,,
1713734911121,927.22,1.937,378.75672,1713734910109,0.927,,,
1713734911133,927.82,1.949,378.85135,1713734910113,0.931,,,
1713734911142,928.69,1.958,379.06164,1713734910122,0.94,,,
1713734911154,924.01,1.97,379.10407,1713734910131,0.949,,,
1713734911162,926.66,1.978,379.23858,1713734910134,0.952,,,
1713734911175,926.54,1.991,379.15041,1713734910141,0.959,,,
1713734911187,927.9,2.003,379.16507,1713734910145,0.963,,,
1713734911195,927.18,2.011,379.41872,1713734910148,0.966,,,
1713734911207,927.04,2.023,379.39142,1713734910153,0.971,,,
1713734911219,927.37,2.035,379.10671,1713734910158,0.976,,,
1713734911228,925.06,2.044,379.22956,1713734910163,0.981,,,
1713734911241,927.21,2.057,379.26451,1713734910167,0.985,,,
1713734911252,927.22,2.068,379.55396,1713734910172,0.99,,,
1713734911261,927.96,2.077,379.81611,1713734910176,0.994,,,
1713734911273,927.88,2.089,379.7149,1713734910181,0.999,,,
1713734911285,927.16,2.101,379.69036,1713734910186,1.004,,,
1713734911293,926.48,2.109,379.49831,1713734910190,1.008,,,
1713734911305,928.77,2.121,379.66686,1713734910193,1.011,,,
1713734911318,929.81,2.134,379.63976,1713734910201,1.019,,,
1713734911326,931.74,2.142,379.67774,1713734910215,1.033,,,
1713734911338,928.13,2.154,379.83689,1713734910218,1.036,,,
1713734911351,927.25,2.167,379.87866,1713734910232,1.05,,,
1713734911359,927.73,2.175,380.0455,1713734910236,1.054,,,
1713734911371,929.97,2.187,379.70418,1713734910241,1.059,,,
1713734911384,929.05,2.2,379.56857,1713734910249,1.067,,,
1713734911392,927.87,2.208,379.37331,1713734910252,1.07,,,
1713734911406,930.35,2.222,379.77612,1713734910255,1.073,,,
1713734911412,931.47,2.228,379.8026,1713734910265,1.083,,,
1713734911424,929.1,2.24,379.8937,1713734910269,1.087,,,
1713734911436,927.21,2.252,379.74585,1713734910272,1.09,,,
1713734911445,927.44,2.261,379.67055,1713734910275,1.093,,,
1713734911457,929.2,2.273,379.80585,1713734910279,1.097,,,
1713734911469,930.33,2.285,379.8226,1713734910282,1.1,,,
1713734911477,928.38,2.293,379.82038,1713734910287,1.105,,,
1713734911490,929.15,2.306,379.45571,1713734910290,1.108,,,
1713734911502,927.61,2.318,379.5592,1713734910293,1.111,,,
1713734911511,928.14,2.327,379.65547,1713734910300,1.118,,,
1713734911525,930.02,2.341,379.566,1713734910306,1.124,,,
1713734911535,930.59,2.351,379.57417,1713734910314,1.132,,,
1713734911543,929.22,2.359,379.74728,1713734910317,1.135,,,
1713734911556,929.51,2.372,379.70606,1713734910321,1.139,,,
1713734911568,929.9,2.384,379.57856,1713734910326,1.144,,,
1713734911576,929.79,2.392,379.53111,1713734910329,1.147,,,
1713734911588,930.21,2.404,379.72783,1713734910340,1.158,,,
1713734911600,930.6,2.416,379.68529,1713734910342,1.16,,,
1713734911609,929.32,2.425,379.84218,1713734910348,1.166,,,
1713734911622,930.8,2.438,379.98239,1713734910351,1.169,,,
1713734911633,929.66,2.449,379.92149,1713734910359,1.177,,,
1713734911641,929.58,2.457,379.87369,1713734910362,1.18,,,
1713734911654,929.85,2.47,379.81101,1713734910364,1.182,,,
1713734911666,932.35,2.482,379.783,1713734910371,1.189,,,
1713734911674,930.83,2.49,379.563,1713734910379,1.197,,,
1713734911686,930.6,2.502,379.44686,1713734910382,1.2,,,
1713734911695,931.82,2.511,379.31813,1713734910384,1.202,,,
1713734911707,931.71,2.523,379.2991,1713734910388,1.206,,,
1713734911719,929.42,2.535,379.31691,1713734910391,1.209,,,
1713734911728,929.87,2.544,379.14623,1713734910396,1.214,,,
1713734911740,928.28,2.556,379.09622,1713734910399,1.217,,,
1713734911752,930.16,2.568,379.15199,1713734910403,1.221,,,
1713734911760,931.84,2.576,378.9602,1713734910406,1.224,,,
1713734911772,930.19,2.588,378.89817,1713734910409,1.227,,,
1713734911785,932.62,2.601,378.78588,1713734910415,1.233,,,
1713734911793,931,2.609,378.75043,1713734910418,1.236,,,
1713734911805,932.43,2.621,378.56631,1713734910421,1.239,,,
1713734911818,932.36,2.634,378.28083,1713734910423,1.241,,,
1713734911826,931.81,2.642,378.39159,1713734910427,1.245,,,
1713734911838,931.11,2.654,378.40464,1713734910432,1.25,,,
1713734911850,929.51,2.666,378.60219,1713734910436,1.254,,,
1713734911859,931.69,2.675,378.68475,1713734910438,1.256,,,
1713734911871,932.32,2.687,378.90188,1713734910441,1.259,,,
1713734911883,931.67,2.699,378.8948,1713734910444,1.262,,,
1713734911891,931.43,2.707,378.87684,1713734910448,1.266,,,
1713734911904,932.43,2.72,378.73694,1713734910452,1.27,,,
1713734911916,932.96,2.732,378.52914,1713734910455,1.273,,,
1713734911924,932.87,2.74,378.56122,1713734910458,1.276,,,
1713734911937,932.85,2.753,378.52436,1713734910463,1.281,,,
1713734911946,932.91,2.762,378.55355,1713734910467,1.285,,,
1713734911957,933.9,2.773,378.30126,1713734910470,1.288,,,
